Name,Categorical
วิศวกรรมน้ำและบำบัดน้ำเสีย: เทคโนโลยีชีวเคมี ,วิศวกรรมและสถาปัตยกรรม
การดูแลแบบประคับประคอง ,ธุรกิจและการบริหารจัดการ
ภาษาเกาหลีเบื้องต้น 1 세계로 통하는 한국어 : 초급 Ⅰ ,ภาษาและการสื่อสาร
จิตวิทยาประยุกต์ในการทำงาน เพื่อความสำเร็จ ความสุข และความมั่งคั่ง ,ทักษะชีวิตและการพัฒนาตนเอง
บริการสารสนเทศสำหรับองค์กรดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
การตลาดเชิงสร้างสรรค์,ธุรกิจและการบริหารจัดการ
สถิติพื้นฐานสำหรับการวิเคราะห์ ข้อมูล-สถิติเชิงพรรณนา ,คณิตศาสตร์และวิทยาศาสตร์
การออกแบบองค์กรดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
การคิดสร้างสรรค์และนวัตกรรม ,คอมพิวเตอร์และเทคโนโลยี
เทคโนโลยีอาหารและกระบวนการผลิตยุคใหม่ ,ธุรกิจและการบริหารจัดการ
สตาร์ทอัพชุมชน ,ธุรกิจและการบริหารจัดการ
อาเซียนศึกษา ,สังคม การเมืองการปกครอง
ศิลปะ หัตกรรม และการละเล่นพื้นบ้านภาคใต้ ,ศิลปวัฒนธรรมและศาสนา
เทคโนโลยี บล็อกเชนและ บิทคอยน์ ,คอมพิวเตอร์และเทคโนโลยี
การจัดการศึกษาโดยครอบครัว ,การศึกษาและการฝึกอบรม
พฤติกรรมองค์การและการจัดการทรัพยากรมนุษย์ ,ธุรกิจและการบริหารจัดการ
การจัดการบริการสุขภาพปฐมภูมิ หัวข้อ การบริหารงานสาธารณสุขในภาวะฉุกเฉิน ,สุขภาพและการแพทย์
การสร้างความรู้สึกดีให้ตนเอง ,สุขภาพและการแพทย์
การตัดต่อวีดิทัศน์ดิจิทัลด้วยโปรแกรม Sony Vegas ,คอมพิวเตอร์และเทคโนโลยี
ความคิดสร้างสรรค์และนวัตกรรม ,ทักษะชีวิตและการพัฒนาตนเอง
ภาษาไทยเพื่อการสื่อสารร่วมสมัย ,ภาษาและการสื่อสาร
การออกแบบวงจรดิจิทัล ,วิศวกรรมและสถาปัตยกรรม
การดูแลผู้ป่วยวาระสุดท้ายและครอบครัว ,สุขภาพและการแพทย์
จิตวิทยากับชีวิตประจำวัน ,ทักษะชีวิตและการพัฒนาตนเอง
ประวัติและตรวจร่างกาย…ใครคิดว่าไม่สำคัญ?,สุขภาพและการแพทย์
ขนมไทยพื้นบ้านภาคใต้ ,ศิลปวัฒนธรรมและศาสนา
สตาร์ทอัพอังกฤษ ,ธุรกิจและการบริหารจัดการ
อาหารไทยเพื่อสุขภาพและการชะลอวัย ,สุขภาพและการแพทย์
ตั้งกรอบโจทย์อย่างไรให้โดนใจลูกค้า ,ธุรกิจและการบริหารจัดการ
การออกแบบการเรียนรู้สำหรับองค์กรภาคธุรกิจ ,ธุรกิจและการบริหารจัดการ
เทคนิคการออกแบบและตกแต่งบ้านประหยัดพลังงาน ,วิศวกรรมและสถาปัตยกรรม
การเขียนโครงร่างการวิจัยทางคลินิก ,การศึกษาและการฝึกอบรม
การพัฒนาหุ่นยนต์เพื่อการศึกษาเบื้องต้น ,วิศวกรรมและสถาปัตยกรรม
การใช้ภาษาไทย ,ภาษาและการสื่อสาร
มาตรฐานการผลิตสื่อดิจิทัล ,คอมพิวเตอร์และเทคโนโลยี
